isBasicEconomy,isRefundable,isNonStop,totalFare,departure_hour,departure_day,departure_month,days_to_departure,DISTANCE
False,False,False,476.59,5,Saturday,10,2,3501
True,False,True,168.61,18,Friday,6,11,757
True,False,True,188.6,19,Saturday,8,51,1799
False,False,False,627.2,14,Tuesday,6,53,2288
False,False,False,346.2,13,Tuesday,8,44,1027
False,False,False,248.6,9,Thursday,5,18,6033
False,False,True,168.61,12,Tuesday,8,6,294
False,False,False,498.6,11,Wednesday,5,34,8688
True,False,True,129.6,22,Thursday,7,16,2146
False,False,False,246.1,19,Tuesday,9,47,1069
False,False,False,627.6,11,Sunday,7,34,1413
False,False,False,455.6,6,Saturday,6,7,5657
False,False,False,357.6,18,Thursday,7,1,4129
False,False,True,157.1,1,Sunday,8,41,2177
False,False,False,546.08,19,Saturday,10,10,9137
False,False,False,496.6,21,Sunday,7,52,1749
False,False,False,126.1,11,Wednesday,5,14,1784
False,False,False,191.59,23,Thursday,10,32,6051
True,False,True,113.6,1,Saturday,10,26,2065
False,False,False,364.1,10,Monday,5,22,3565
False,False,False,557.7,23,Friday,9,7,2116
False,False,False,318.6,17,Thursday,7,6,2653
False,False,False,302.7,22,Saturday,8,24,3327
False,False,False,200.6,20,Tuesday,7,20,343
False,False,True,233.99,19,Sunday,8,33,1631
False,False,False,181.58,14,Sunday,8,46,1653
False,False,False,427.6,15,Tuesday,6,51,5069
False,False,False,582.7,19,Thursday,9,25,1769
False,False,True,372.6,3,Friday,10,1,3091
False,False,True,258.6,1,Sunday,6,8,643
True,False,True,187.1,17,Friday,10,34,664
False,False,False,310.59,6,Wednesday,8,59,5673
True,False,True,128.6,10,Saturday,9,14,1012
False,False,False,173.58,17,Thursday,5,14,864
False,False,False,107.6,11,Tuesday,4,2,99
False,False,False,301.61,15,Friday,9,44,5240
False,False,False,337.6,22,Friday,6,46,1943
False,False,True,378.6,17,Sunday,9,58,757
False,False,True,103.99,21,Monday,7,31,4626
False,False,False,486.1,10,Friday,6,3,2015
False,False,False,267.19,9,Thursday,9,17,4918
False,False,True,247.1,21,Monday,9,60,425
False,False,False,707.1,14,Saturday,8,17,4617
False,False,False,327.6,11,Tuesday,7,16,1164
False,False,False,591.6,2,Monday,7,15,382
False,False,False,277.2,5,Monday,10,22,5174
False,False,False,506.2,18,Sunday,6,17,5101
False,False,True,221.6,19,Saturday,10,38,506
